Index;Date;AssessedValue;Message
1;Thu Nov 13 00:59:49 CET 2014;6.02;DeenMuhmmad007 jawad1969sar it's clear, we are diferent cuz care of my life is also my responsibility... Don't forget the Quran!
2;Thu Nov 13 00:59:37 CET 2014;7.03;RT CuzLoveDontHate: komal_sb " beautiful patience" the meaning of Aya from Quran http://t.co/2hwppyj6dZ
3;Thu Nov 13 00:59:17 CET 2014;-1.0;RT AerxlHeroes: *Results day*
4;Thu Nov 13 00:59:13 CET 2014;6.06;phantasmiclife  I dnt think it's proper to say  that the Quran misleads. Allah guides who He wills. He says Quran is the guidance so it is.
5;Thu Nov 13 00:59:07 CET 2014;6.27;RT PeterTownsend7: islam isis quran Allah the Mutilator. Can you feel the 'peace' yet?  http://t.co/aF1qEjApdg http://t.co/6CXx8mhmGX
6;Thu Nov 13 00:58:39 CET 2014;6.32;RT zedarsln: If you want talk to Allah, then pray.
7;Thu Nov 13 00:58:31 CET 2014;6.4;RT zedarsln: And Allah wants to lighten for you (yr difficulities) & mankind was created weak.
8;Thu Nov 13 00:58:24 CET 2014;4.11;RT iFalasteen: Israeli Zionist burned a mosque and all the Quran's in it. We up sleeping Muslims Israel even burns our mosques... http://t…
9;Thu Nov 13 00:58:05 CET 2014;5.64;"We have created you, so why do you not Believe?!"
10;Thu Nov 13 00:57:32 CET 2014;7.19;RT The_MuslimTimes: Meteors: Establish the truth of the Holy Quran
11;Thu Nov 13 00:57:25 CET 2014;7.25;RT XxPLWxX: Oh yeah, I'm feeling the love in the Quran Islam http://t.co/YjaLVdQfbE
12;Thu Nov 13 00:57:23 CET 2014;4.11;RT iFalasteen: Israeli Zionist burned a mosque and all the Quran's in it. We up sleeping Muslims Israel even burns our mosques... http://t…
13;Thu Nov 13 00:57:15 CET 2014;-1.0;What are your 3 favourite Verses from the Quran?
14;Thu Nov 13 00:57:09 CET 2014;4.5;RT AlakhbarEnglish: Israeli settlers torch mosque, copies of the Quran in WestBank 
15;Thu Nov 13 00:56:57 CET 2014;-1.0;Photo: islamwear: ?arab ?ootd ? http://t.co/d2Ck0XnD2Z
16;Thu Nov 13 00:56:50 CET 2014;6.27;RT PeterTownsend7: islam isis quran Allah the Mutilator. Can you feel the 'peace' yet?  http://t.co/aF1qEjApdg http://t.co/6CXx8mhmGX
17;Thu Nov 13 00:56:44 CET 2014;7.25;RT XxPLWxX: Oh yeah, I'm feeling the love in the Quran Islam http://t.co/YjaLVdQfbE
18;Thu Nov 13 00:56:17 CET 2014;6.2;RT QreativeRevolt: Did u know that TahirulQadri founded Minhaj-ul-Quran Int. in 1981 & Network has since spread to over 90 Countries? htt…
19;Thu Nov 13 00:56:13 CET 2014;7.25;RT XxPLWxX: Oh yeah, I'm feeling the love in the Quran Islam http://t.co/YjaLVdQfbE
20;Thu Nov 13 00:56:02 CET 2014;5.27;RT Alhamdhulillaah: Do not be discouraged or grieved. You alone will have true dignity if you only are true believers. Quran 3:139
21;Thu Nov 13 00:55:45 CET 2014;5.96;RT QuranWeekly: Any verse from the Quran that you recite, reflect upon & act upon will be a light that will illuminate your grave. Increa…
22;Thu Nov 13 00:55:39 CET 2014;5.71;KamranNaimKhan avinashk1975 i want to debate on 'why muslims all over world run to Quran for all issues,n end up as brainwashed fanatics'
23;Thu Nov 13 00:55:35 CET 2014;4.11;RT iFalasteen: Israeli Zionist burned a mosque and all the Quran's in it. We up sleeping Muslims Israel even burns our mosques... http://t…
24;Thu Nov 13 00:55:28 CET 2014;6.18;Open to any page of the Quran, and it will be more than enough of a reason to believe that the Quran is truly a miracle.
25;Thu Nov 13 00:55:13 CET 2014;-1.0;islam isis From the 'Glorious' Quran: Muhammad's Star Wars!  http://t.co/i6Dgd5q7ad http://t.co/ub6fqKVfGD
26;Thu Nov 13 00:55:13 CET 2014;5.11;DeleMomoduTheir plots against him will certainly fail. As the  Quran says "They plot and Allah plots, and Allah is the best of plotters.
27;Thu Nov 13 00:54:52 CET 2014;4.11;RT iFalasteen: Israeli Zionist burned a mosque and all the Quran's in it. We up sleeping Muslims Israel even burns our mosques... http://t…
28;Thu Nov 13 00:54:49 CET 2014;5.73;RT SunniPrisoners: Iran arrests 16 Ahwazi Sunni converts at Qur'an class in Ahwaz
